MDN_APH_B																
																
Subject:	50															
Date: 05/04/2023 11:48:30																
Run: 2																
Buttons: 1/2																
																
stimulus_audio	time_audio	length_audio	stimulus_picture	time_picture	response_time	absolute_response_time	button_response	accuracy	condition	congruency	category	occurence_pic	repeat_pic	repeat_category	ISI	time_ISI
banane_incorrect	497374	890	Banane	498274	499315	1040	1	correct	FPM	incorrect	Fruechte	2		16	900	500890
paprika_word	501823	1330	Paprika	503156	503850	694	2	correct	WPM	correct	Gemuese	1	28	13	700	505339
moewe_word	506072	1240	Meise	507322	508374	1052	1	correct	WPM	incorrect	Voegel	2		19	900	509588
fahrrad_incorrect	510854	990	Fahrrad	511854	512971	1117	1	correct	FPM	incorrect	Fortbewegungsmittel	1	48	21	700	514369
walze_correct	515186	1170	Walze	516369	517515	1146	2	correct	FPM	correct	Werkzeug	2		3	900	518702
schlafanzug_word	519635	1530	Pullover	521184	522168	983	1	correct	WPM	incorrect	Kleidung	2		3	1200	523150
schaukelstuhl_incorrect	524717	940	Schaukelstuhl	525666	526478	812	1	correct	FPM	incorrect	Moebel	1	57	7	1200	528232
schleifpapier_correct	529532	1280	Schleifpapier	530815	531939	1124	2	correct	FPM	correct	Werkzeug	1	60	5	700	533047
schlafanzug_correct	533847	1030	Schlafanzug	534880	535955	1074	2	correct	FPM	correct	Kleidung	1	9	9	900	537363
kamel_correct	538313	960	Kamel	539279	540291	1011	2	correct	FPM	correct	Saeugetiere	2		1	1200	541828
wal_incorrect	543395	1060	Wal	544461	545616	1155	1	correct	FPM	incorrect	Saeugetiere	1	1		700	546910
wal_word	547643	1100	Wal	548760	550403	1643	2	correct	WPM	correct	Saeugetiere	2		16	700	551159
bohrmaschine_word	551892	1530	Bohrmaschine	553442	554417	975	2	correct	WPM	correct	Werkzeug	2		21	900	555408
sessel_word	556358	1130	Schrank	557491	558538	1047	1	correct	WPM	incorrect	Moebel	1	74	5	1200	559873
brokkoli_correct	561439	1110	Brokkoli	562556	563318	761	2	correct	FPM	correct	Gemuese	1	30	1	700	564955
zwiebel_incorrect	565705	1290	Zwiebel	567004	568447	1442	1	correct	FPM	incorrect	Gemuese	2		4	700	569220
kirsche_incorrect	570304	900	Kirsche	571220	572351	1131	1	correct	FPM	incorrect	Fruechte	2		18	1200	573819
pullover_word	575052	1290	Schlafanzug	576352	577256	904	1	correct	WPM	incorrect	Kleidung	2		8	700	578568
tisch_incorrect	579318	1110	Tisch	580434	581474	1040	1	correct	FPM	incorrect	Moebel	2		5	1200	582833
weisskohl_word	584066	1160	Sellerie	585233	586406	1173	1	correct	WPM	incorrect	Gemuese	2		1	3000	587582
radieschen_word	595613	1370	Kuerbis	596996	598023	1027	1	correct	WPM	incorrect	Gemuese	2		9	700	599129
spatz_word	599862	1150	Geier	601028	601941	912	1	correct	WPM	incorrect	Voegel	2		1	900	603377
adler_word	604311	1210	Adler	605527	606911	1384	1	incorrect	WPM	correct	Voegel	1	25	6	1200	607826
hocker_correct	609126	1220	Hocker	610359	611299	940	2	correct	FPM	correct	Moebel	1	8	3	700	612641
taxi_correct	613441	1330	Taxi	614774	616109	1334	2	correct	FPM	correct	Fortbewegungsmittel	1	67	27	700	616957
socke_word	617690	1220	Socke	618923	619780	856	2	correct	WPM	correct	Kleidung	1	17	16	700	621206
regal_correct	621989	980	Regal	622972	624519	1547	2	correct	FPM	correct	Moebel	2		5	1200	625504
biber_correct	626804	1240	Biber	628054	629450	1395	2	correct	FPM	correct	Saeugetiere	2		12	1200	630320
eule_correct	631636	1450	Eule	633102	634352	1249	2	correct	FPM	correct	Voegel	1	15	2	1200	635152
paprika_incorrect	636451	1130	Paprika	637584	639910	2326	2	incorrect	FPM	incorrect	Gemuese	2		3	700	639967
wellensittich_word	640700	1510	Wellensittich	642216	643551	1334	2	correct	WPM	correct	Voegel	2		13	700	644216
regal_word	644949	1190	Hocker	646149	647099	950	2	incorrect	WPM	incorrect	Moebel	2		5	900	648465
spargel_word	649398	1100	Spargel	650514	651112	598	2	correct	WPM	correct	Gemuese	2		6	1200	652913
feile_incorrect	654146	870	Feile	655029	655716	686	2	incorrect	FPM	incorrect	Werkzeug	2		2	900	657662
orange_incorrect	658612	1670	Orange	660294	661881	1586	1	correct	FPM	incorrect	Fruechte	2		3	700	662127
saege_word	662861	1220	Saege	664093	665573	1479	2	correct	WPM	correct	Werkzeug	2		13	1200	666376
bank_correct	667942	1240	Bank	669192	670188	995	1	incorrect	FPM	correct	Moebel	2		9	700	671458
kokosnuss_correct	672258	980	Kokosnuss	673241	674777	1535	1	incorrect	FPM	correct	Fruechte	2		21	900	675773
radieschen_correct	676773	1440	Radieschen	678223	679163	940	1	incorrect	FPM	correct	Gemuese	2		2	700	680289
lama_correct	681089	950	Lama	682055	683583	1527	2	correct	FPM	correct	Saeugetiere	1	10	10	900	684604
moehre_word	685537	1170	Moehre	686720	687532	811	2	correct	WPM	correct	Gemuese	1	49	4	900	689053
mantel_correct	690003	1130	Mantel	691136	692312	1176	1	incorrect	FPM	correct	Kleidung	2		1	900	693518
socke_incorrect	694468	1590	Socke	696068	697064	996	1	correct	FPM	incorrect	Kleidung	2		4	700	697984
ente_word	698717	1220	Eule	699950	700796	846	1	correct	WPM	incorrect	Voegel	2		4	3000	702232
kohlrabi_word	710264	1310	Brokkoli	711580	712559	979	1	correct	WPM	incorrect	Gemuese	2		10	700	713779
truhe_word	714512	1190	Truhe	715712	717853	858	2	correct	WPM	correct	Moebel	2		5	1200	718028
jeans_word	719261	1280	Jeans	720544	721575	1031	2	correct	WPM	correct	Kleidung	2		19	900	722777
adler_incorrect	723726	1210	Adler	724943	726489	1546	2	incorrect	FPM	incorrect	Voegel	2		17	1200	727242
meissel_word	728475	1190	Hobel	729675	730523	848	2	incorrect	WPM	incorrect	Werkzeug	1	23	5	1200	731991
baer_word	733224	1130	Lama	734357	735306	949	1	correct	WPM	incorrect	Saeugetiere	2		8	900	736739
wiege_word	737672	1190	Wiege	738872	740078	1205	2	correct	WPM	correct	Moebel	2		13	700	741188
fahrrad_word	741921	1350	Fahrrad	743287	744098	810	2	correct	WPM	correct	Fortbewegungsmittel	2		1	900	745437
flugzeug_word	746370	1410	Flugzeug	747786	748496	709	2	correct	WPM	correct	Fortbewegungsmittel	2		3	1200	749886
axt_incorrect	751135	1170	Axt	752318	753428	1109	2	incorrect	FPM	incorrect	Werkzeug	2		8	700	754651
sellerie_word	755384	1110	Weisskohl	756500	757591	1091	2	incorrect	WPM	incorrect	Gemuese	2		35	900	758900
traktor_correct	759850	1050	Traktor	760916	762257	1341	1	incorrect	FPM	correct	Fortbewegungsmittel	2		1	1200	763365
kutsche_correct	764931	940	Kutsche	765881	767267	1385	2	correct	FPM	correct	Fortbewegungsmittel	1	32	3	900	768447
ziege_incorrect	769397	1000	Ziege	770413	771498	1084	1	correct	FPM	incorrect	Saeugetiere	2			1200	772912
kokosnuss_word	774145	1510	Weintraube	775662	776323	661	2	incorrect	WPM	incorrect	Fruechte	2			1200	777661
taxi_word	778894	1230	Schlitten	780127	781071	943	1	correct	WPM	incorrect	Fortbewegungsmittel	2		13	700	782410
kiwi_word	783143	1190	Kiwi	784342	785683	1340	2	correct	WPM	correct	Fruechte	2		9	1200	786658
harke_incorrect	787891	1290	Harke	789191	790408	1216	1	correct	FPM	incorrect	Werkzeug	1	19	1	700	791407
maurerkelle_incorrect	792207	820	Maurerkelle	793040	794270	1230	1	correct	FPM	incorrect	Werkzeug	2		4	1200	795722
schaukelstuhl_word	796956	1430	Schaukelstuhl	798388	799180	791	2	correct	WPM	correct	Moebel	2		24	900	800471
spatz_correct	801738	1460	Spatz	803204	804140	936	2	correct	FPM	correct	Voegel	2		4	900	805253
bluse_correct	806220	1020	Bluse	807253	808207	954	1	incorrect	FPM	correct	Kleidung	2		17	700	809735
schleifpapier_word	810468	1400	Schraubenzieher	811885	813010	1125	1	correct	WPM	incorrect	Werkzeug	1	7		1200	813984
schraubenzieher_word	815217	1420	Schleifpapier	816650	817793	1142	1	correct	WPM	incorrect	Werkzeug	2		4	3000	818733
pinguin_incorrect	826780	940	Pinguin	827730	829363	1633	2	incorrect	FPM	incorrect	Voegel	2		7	1200	830296
blaubeere_correct	831546	1510	Blaubeere	833062	834045	983	2	correct	FPM	correct	Fruechte	2		1	900	835061
zitrone_word	835994	1400	Zitrone	837411	838284	873	2	correct	WPM	correct	Fruechte	1	13	13	700	839510
hobel_correct	840260	1150	Hobel	841426	842049	622	2	correct	FPM	correct	Werkzeug	2			900	843775
zug_word	844709	960	Zug	845675	846675	1000	2	correct	WPM	correct	Fortbewegungsmittel	1	2		1200	848224
schraubenzieher_correct	849457	1130	Schraubenzieher	850590	851532	941	2	correct	FPM	correct	Werkzeug	2		3	900	852973
zug_incorrect	854239	930	Zug	855172	856245	1072	1	correct	FPM	incorrect	Fortbewegungsmittel	2		3	900	857755
reiher_word	858688	1180	Reiher	859871	861018	1147	2	correct	WPM	correct	Voegel	2			700	862203
hobel_word	862937	1190	Meissel	864136	865404	1267	2	incorrect	WPM	incorrect	Werkzeug	1	10	4	1200	866452
faehre_correct	867702	1320	Faehre	869035	870490	1455	2	correct	FPM	correct	Fortbewegungsmittel	2		1	900	871218
schiff_correct	872484	1150	Schiff	873650	874567	916	2	correct	FPM	correct	Fortbewegungsmittel	1	6	1	700	876000
rollschuh_word	876733	1150	Rollschuh	877899	878831	932	2	correct	WPM	correct	Fortbewegungsmittel	2		5	900	880248
harke_word	881181	1240	Harke	882431	883246	814	2	correct	WPM	correct	Werkzeug	2		6	1200	884697
moewe_correct	886263	1090	Moewe	887363	888480	1117	2	correct	FPM	correct	Voegel	2			700	889779
kleid_word	890512	1210	Kleid	891728	892552	823	2	correct	WPM	correct	Kleidung	2		3	1200	894028
zitrone_incorrect	895311	970	Zitrone	896294	897455	1161	1	correct	FPM	incorrect	Fruechte	2			1200	898826
traktor_word	900059	1320	Schiff	901392	902334	942	1	correct	WPM	incorrect	Fortbewegungsmittel	2		4	900	903575
hemd_incorrect	904825	1080	Hemd	905908	906926	1018	1	correct	FPM	incorrect	Kleidung	2			900	908340
meissel_correct	909340	1170	Meissel	910523	911360	836	2	correct	FPM	correct	Werkzeug	2			700	912856
schrank_correct	913606	1040	Schrank	914655	915553	897	2	correct	FPM	correct	Moebel	2			700	917121
faehre_word	917871	1240	Kutsche	919121	920311	1190	1	correct	WPM	incorrect	Fortbewegungsmittel	2		3	700	921387
moehre_incorrect	922453	1000	Moehre	923469	924426	956	1	correct	FPM	incorrect	Gemuese	2		1	700	925969
kohlrabi_correct	926718	1250	Kohlrabi	927985	929183	1198	1	incorrect	FPM	correct	Gemuese	2			1200	930234
schlitten_word	931484	1130	Taxi	932617	933410	792	1	correct	WPM	incorrect	Fortbewegungsmittel	2		1	0	932617
